doi,type,year,source,title,IC2-RQ1,IC2-RQ2,IC2-RQ3,IC3,EC3,EC6,Decisions,Comments,,
10.1016/j.apor.2024.104361,article,2025.0,Applied Ocean Research,Numerical investigation of cavitation induced noise and noise reduction mechanism for the leading-edge protuberances,False,False,False,False,False,False,N,,,
10.1109/ISMAR.2003.1240695,inproceedings,2003.0,"The Second IEEE and ACM International Symposium on Mixed and Augmented Reality, 2003. Proceedings.",Herding sheep: live system for distributed augmented reality,False,False,False,False,False,False,N,,,
10.1016/j.procir.2015.08.027,article,2015.0,Procedia CIRP,Experimental Validation of a Resilient Electronic Logic Design with Autonomous Fault Discrimination/Masking,False,False,False,False,False,False,N,,,
10.18653/v1/2021.acl-long.139,inproceedings,2021.0,Proceedings of the 59th Annual Meeting of the Association for Computational Linguistics and the 11th International Joint Conference on Natural Language Processing (Volume 1: Long Papers),A Systematic Investigation of {KB}-Text Embedding Alignment at Scale,False,True,False,False,False,False,Y,"Even though AR is different from A, still put it in for now",,
10.1109/QRS-C63300.2024.00163,inproceedings,2024.0,"2024 IEEE 24th International Conference on Software Quality, Reliability, and Security Companion (QRS-C)",Computational Imagination in Three-Dimension Scene Synthesis,False,False,False,False,False,False,N,,,
10.1016/j.ijheatfluidflow.2019.01.016,article,2019.0,International Journal of Heat and Fluid Flow,Design of the centrifugal fan of a belt-driven starter generator with reduced flow noise,False,False,False,False,False,False,N,,,
10.1016/B978-0-12-378640-1.00003-2,incollection,2014.0,Wireless Receiver Architectures and Design,Chapter 3 - Noise in Wireless Receiver Systems,False,False,False,False,False,False,N,,,
10.1016/j.aeue.2018.08.023,article,2018.0,AEU - International Journal of Electronics and Communications,Reduction of self-heating effect using selective buried oxide (SELBOX) charge plasma based junctionless transistor,False,False,False,False,False,False,N,,,
10.1016/j.jnlssr.2021.10.001,article,2022.0,Journal of Safety Science and Resilience,Resilience in supply systems – What the food industry can learn from energy sector,False,False,False,False,False,False,N,,,
10.1016/S0196-8904(97)10033-4,article,1998.0,Energy Conversion and Management,Digital governor for use in computer control of a generating unit,False,False,False,False,False,False,N,,,
10.1269/jrr.43.125,article,2002.0,Journal of Radiation Research,Cytogenetic Changes in the Liver of Progeny of Irradiated Male Rats,False,False,False,False,False,False,N,,,
10.1109/ROBOT.1994.351266,inproceedings,1994.0,Proceedings of the 1994 IEEE International Conference on Robotics and Automation,The fluid dynamics applied to mobile robot motion: the stream field method,False,False,False,False,False,False,N,,,
10.1016/j.enconman.2008.03.022,article,2008.0,Energy Conversion and Management,Oxyfuel carbonation/calcination cycle for low cost CO2 capture in existing power plants,False,False,False,False,False,False,N,,,
10.1016/j.destud.2019.01.001,article,2019.0,Design Studies,Crowdsourcing inspiration: Using crowd generated inspirational stimuli to support designer ideation,False,True,False,False,False,False,Y,"Even though its completely Crowdsourcing, the RQ2 still suffice",,
10.1109/GlobalAISummit62156.2024.10947867,inproceedings,2024.0,2024 International Conference on Artificial Intelligence and Emerging Technology (Global AI Summit),Computational Metaphor Processing: A Review,True,True,True,False,False,False,Y,,,
10.1016/j.compstruc.2016.05.004,article,2017.0,Computers & Structures,Strain smoothing for compressible and nearly-incompressible finite elasticity,False,False,False,False,False,False,N,,,
10.1109/ASE56229.2023.00068,inproceedings,2023.0,2023 38th IEEE/ACM International Conference on Automated Software Engineering (ASE),Vision-Based Widget Mapping for Test Migration Across Mobile Platforms: Are We There Yet?,False,False,False,False,False,False,N,,,
10.1109/CVPR.2019.00311,inproceedings,2019.0,2019 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),Generalized Zero-Shot Recognition Based on Visually Semantic Embedding,False,False,False,False,False,False,N,,,
10.1109/TVCG.2022.3150496,article,2022.0,IEEE Transactions on Visualization and Computer Graphics,Breaking Plausibility Without Breaking Presence - Evidence For The Multi-Layer Nature Of Plausibility,False,False,False,False,False,False,N,,,
10.1109/ICRAIE52900.2021.9704026,inproceedings,2021.0,2021 6th IEEE International Conference on Recent Advances and Innovations in Engineering (ICRAIE),Monitoring Idling Car Gas Leakage and Notification via Mobile with Eco-Feedback,False,False,False,False,False,False,N,,,
10.1016/j.engfailanal.2023.107417,article,2023.0,Engineering Failure Analysis,A macroblock 2D finite element model for assessing the roots of failure of Huaca de la Luna’s main pyramid (Peru) under seismic action,False,False,False,False,False,False,N,,,
10.1016/S0017-9310(02)00479-9,article,2003.0,International Journal of Heat and Mass Transfer,Simultaneous visualization of flow field and evaluation of local heat transfer by transitional impinging jets,False,False,False,False,False,False,N,,,
10.1016/j.matdes.2012.04.024,article,2012.0,Materials & Design,Production of graded aluminum foams via powder space holder technique,False,False,False,False,False,False,N,,,
10.1109/IVESC.2010.5644413,inproceedings,2010.0,2010 8th International Vacuum Electron Sources Conference and Nanocarbon,Studies on influence of seed electrons and physical dimensions of hollow cathode on Pseudospark discharge,False,False,False,False,False,False,N,,,
10.1109/ICCSSE.1997.599874,inproceedings,1997.0,Proceedings of the Eighth Israeli Conference on Computer Systems and Software Engineering,An RPC-based methodology for client/server application development in C++,False,False,False,False,False,False,N,,,
10.1109/CVPR52688.2022.01329,inproceedings,2022.0,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),Disentangling Visual Embeddings for Attributes and Objects,False,False,False,False,False,False,N,,,
10.1002/spe.4380151202,article,1985.0,Software: Practice and Experience,A critique of unix,False,False,False,False,False,False,N,,,
10.1109/IV.2013.101,inproceedings,2013.0,2013 17th International Conference on Information Visualisation,Force-Directed Parallel Coordinates,False,False,False,False,False,False,N,,,
10.1145/584993.585013,inproceedings,2001.0,"Proceedings of the 2001 Conference on Virtual Reality, Archeology, and Cultural Heritage",An easy-to-use visualization system for huge cultural heritage meshes,False,False,False,False,False,False,N,,,
10.1016/S0963-8695(03)00003-3,article,2003.0,NDT & E International,Study on the transformer equivalent circuit of eddy current nondestructive evaluation,False,False,False,False,False,False,N,,,
10.1021/acschembio.9b00293,article,2019.0,ACS Chemical Biology,"Small-Molecule Inhibition of the C. difficile FAS-II Enzyme, FabK, Results in Selective Activity",False,False,False,False,False,False,N,,,
10.1016/j.jrmge.2019.07.006,article,2020.0,Journal of Rock Mechanics and Geotechnical Engineering,On the use of 1g physical models for ground movements and soil-structure interaction problems,False,False,False,False,False,False,N,,,
10.2196/13540,article,2019.0,Journal of Medical Internet Research,Qualitative Synthesis of Young People’s Experiences With Technology-Assisted Cognitive Behavioral Therapy: Systematic Review,False,False,False,False,False,False,N,,,
10.1145/1708046.1708058,inproceedings,2010.0,Proceedings of the 5th ACM SIGPLAN Workshop on Declarative Aspects of Multicore Programming,Efficient parallel programming in Poly/ML and Isabelle/ML,False,False,False,False,False,False,N,,,
10.3182/20090909-4-JP-2010.00013,article,2009.0,IFAC Proceedings Volumes,Analog Motion Detection Circuits Using Simple Edge Detection Circuits Based on the Vertebrate Retina,False,False,False,False,False,False,N,,,
10.1109/ICITA.2005.106,inproceedings,2005.0,Third International Conference on Information Technology and Applications (ICITA'05),Constraints for automated generating Chinese metaphors,True,False,True,False,False,False,Y,,,
10.1109/FDTC53659.2021.00018,inproceedings,2021.0,2021 Workshop on Fault Detection and Tolerance in Cryptography (FDTC),Short Paper: EMFI for Safety-Critical Testing of Automotive Systems,False,False,False,False,False,False,N,,,
10.1109/iGETblockchain56591.2022.10087104,inproceedings,2022.0,2022 IEEE 1st Global Emerging Technology Blockchain Forum: Blockchain & Beyond (iGETblockchain),Opportunities and Challenges in Metaverse for Industry 4.0 and Beyond Applications,False,False,False,False,False,False,N,,,
10.1016/j.ijplas.2018.01.016,article,2018.0,International Journal of Plasticity,Multi-temperature indentation creep tests on nanotwinned copper,False,False,False,False,False,False,N,,,
10.1145/3219811,article,2018.0,ACM Trans. Sen. Netw.,Mechanisms and Policies for Controlling Distributed Solar Capacity,False,False,False,False,False,False,N,,,
10.1145/2009916.2010109,inproceedings,2011.0,Proceedings of the 34th International ACM SIGIR Conference on Research and Development in Information Retrieval,Time-based query performance predictors,False,False,False,False,False,False,N,,,
10.1016/j.renene.2012.07.002,article,2013.0,Renewable Energy,The extractable power from a split tidal channel: An equivalent circuit analysis,False,False,False,False,False,False,N,,,
10.1109/PLASMA.2012.6383977,inproceedings,2012.0,2012 Abstracts IEEE International Conference on Plasma Science,Moment preserving adaptive particle weighting scheme for pic simulations,False,False,False,False,False,False,N,,,
10.1016/0142-694X(93)80043-C,article,1993.0,Design Studies,Rescuing CAD from rationalism,False,False,False,False,False,False,N,,,
10.1016/0925-5273(94)90043-4,article,1994.0,International Journal of Production Economics,"Product-line selection, production decisions and allocation of common fixed costs",False,False,False,False,False,False,N,,,
10.1016/j.jmbbm.2016.07.029,article,2016.0,Journal of the Mechanical Behavior of Biomedical Materials,"Giant panda׳s tooth enamel: Structure, mechanical behavior and toughening mechanisms under indentation",False,False,False,False,False,False,N,,,
10.1109/TUFFC.2005.1509800,article,2005.0,"IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control",Optical piezoelectric transducer for nano-ultrasonics,False,False,False,False,False,False,N,,,
10.1145/2739480.2754805,inproceedings,2015.0,Proceedings of the 2015 Annual Conference on Genetic and Evolutionary Computation,An Immuno-inspired Approach Towards Sentence Generation,False,False,False,False,False,False,N,,,
10.1016/0898-1221(93)90066-5,article,1993.0,Computers & Mathematics with Applications,Convolution number,False,False,False,False,False,False,N,,,
,inproceedings,2001.0,Proceedings of the Conference on Visualization '01,Quantitative comparative evaluation of 2D vector field visualization methods,False,False,False,False,False,False,N,,,
10.1109/TGRS.2006.886177,article,2007.0,IEEE Transactions on Geoscience and Remote Sensing,Extraction of Spectral Channels From Hyperspectral Images for Classification Purposes,False,False,False,False,False,False,N,,,
10.1016/j.ijleo.2005.01.029,article,2005.0,Optik,A Bose–Einstein condensate wave-packet as a soliton in an ideal potential well,False,False,False,False,False,False,N,,,
10.1109/JIOT.2024.3357719,article,2024.0,IEEE Internet of Things Journal,Analytic Modeling for Grant-Free Transmission in Cell-Free Massive MIMO: A Stochastic Geometry Approach,False,False,False,False,False,False,N,,,
10.1145/3274300,article,2018.0,Proc. ACM Hum.-Comput. Interact.,SOLVENT: A Mixed Initiative System for Finding Analogies between Research Papers,True,True,True,False,False,False,Y,,,
10.1016/j.compscitech.2021.108873,article,2021.0,Composites Science and Technology,Nacre-like GNP/Epoxy composites: Reinforcement efficiency vis-à-vis graphene content,False,False,False,False,False,False,N,,,
10.1016/j.crme.2007.08.004,article,2007.0,Comptes Rendus Mécanique,About Boussinesq's turbulent viscosity hypothesis: historical remarks and a direct evaluation of its validity,False,False,False,False,False,False,N,,,
10.1007/978-3-642-33266-1_50,inproceedings,2012.0,Artificial Neural Networks and Machine Learning – ICANN 2012,Examining an {Evaluation} {Mechanism} of {Metaphor} {Generation} with {Experiments} and {Computational} {Model} {Simulation},True,True,False,False,False,False,Y,,,
10.1109/PTC.2003.1304699,inproceedings,2003.0,"2003 IEEE Bologna Power Tech Conference Proceedings,",Community activity room/sup /spl trade// as a new tool for transmission operation and planning under a competitive power market,False,False,False,False,False,False,N,,,
10.1016/0141-9331(81)90403-8,article,1981.0,Microprocessors and Microsystems,Testing and evaluation of digital control systems,False,False,False,False,False,False,N,,,
10.1109/ICRA57147.2024.10610293,inproceedings,2024.0,2024 IEEE International Conference on Robotics and Automation (ICRA),SPOT: Point Cloud Based Stereo Visual Place Recognition for Similar and Opposing Viewpoints,False,False,False,False,False,False,N,,,
10.1145/3627673.3679060,inproceedings,2024.0,Proceedings of the 33rd ACM International Conference on Information and Knowledge Management,Ensembles for Outlier Detection and Evaluation,False,False,False,False,False,False,N,,,
,inbook,2018.0,Thyroid Systems Engineering: A Primer in Mathematical Modeling of the Hypothalamus-Pituitary-Thyroid Axis,17 HPT Simulation with Trans-linear Circuits,False,False,False,False,False,False,N,,,
10.1016/j.engstruct.2021.112823,article,2021.0,Engineering Structures,Experimental and analytical investigation of seismic behavior of centercore-retrofitted masonry walls,False,False,False,False,False,False,N,,,
,inproceedings,2020.0,Proceedings of the Twelfth Language Resources and Evaluation Conference,Figure Me Out: A Gold Standard Dataset for Metaphor Interpretation,False,True,True,False,False,False,Y,,,
10.1021/acschembio.9b00514,article,2019.0,ACS Chemical Biology,Direct Evidence of an Enzyme-Generated LPP Intermediate in (+)-Limonene Synthase Using a Fluorinated GPP Substrate Analog,False,False,False,False,False,False,N,,,
10.1145/3638530.3664124,inproceedings,2024.0,Proceedings of the Genetic and Evolutionary Computation Conference Companion,A Critical Analysis of Raven Roost Optimization,False,False,False,False,False,False,N,,,
10.1145/2069618.2069651,inproceedings,2011.0,Proceedings of the 8th ACM Conference on Creativity and Cognition,Artists &amp; designers: an experiment in data visualization,False,False,False,False,False,False,N,,,
10.1016/j.jmbbm.2016.03.019,article,2016.0,Journal of the Mechanical Behavior of Biomedical Materials,Dynamic impact testing of hedgehog spines using a dual-arm crash pendulum,False,False,False,False,False,False,N,,,
10.1016/j.mejo.2024.106550,article,2025.0,Microelectronics Journal,"Simulation study of inversion, accumulation, and junctionless mode monolayer MoS2/Ge heterojunction nanosheet at 1.5 nm node",False,False,False,False,False,False,N,,,
10.1007/978-0-585-27366-2_7,incollection,1993.0,Foundations of Knowledge Acquisition: Machine Learning,Problem {Solving} via {Analogical} {Retrieval} and {Analogical} {Search} {Control},True,False,False,False,False,False,Y,,,
,inproceedings,2017.0,Proceedings of the Eighth International Joint Conference on Natural Language Processing (Volume 2: Short Papers),Integrating Vision and Language Datasets to Measure Word Concreteness,False,True,False,False,False,False,Y,,,
10.1016/j.microrel.2023.115068,article,2023.0,Microelectronics Reliability,A simple sensor device for power cycle degradation sensing,False,False,False,False,False,False,N,,,
10.1145/320599.320670,inproceedings,1985.0,Proceedings of the 1985 ACM Thirteenth Annual Conference on Computer Science,The human factors of natural language query systems,False,False,False,False,False,False,N,,,
10.1016/j.mejo.2023.105767,article,2023.0,Microelectronics Journal,LMS-based digital background mismatch calibration technique for SAR ADC,False,False,False,False,False,False,N,,,
10.1016/j.cad.2007.11.004,article,2009.0,Computer-Aided Design,Creative conceptual design: Extending the scope by infused design,True,False,False,False,False,False,N,,,
10.1109/TSP.2022.3151317,article,2022.0,IEEE Transactions on Signal Processing,Nonlinear Dimension Reduction by PDF Estimation,False,False,False,False,False,False,N,,,
10.1109/ICTTA.2004.1307920,inproceedings,2004.0,"Proceedings. 2004 International Conference on Information and Communication Technologies: From Theory to Applications, 2004.",An object zooming model for the semantic Web,False,False,False,False,False,False,N,,,
10.1016/j.sse.2018.02.005,article,2018.0,Solid-State Electronics,Resistive RAMs as analog trimming elements,False,False,False,False,False,False,N,,,
10.1016/j.sse.2014.04.001,article,2014.0,Solid-State Electronics,In depth static and low-frequency noise characterization of n-channel FinFETs on SOI substrates at cryogenic temperature,False,False,False,False,False,False,N,,,
,inproceedings,2011.0,6th Iberian Conference on Information Systems and Technologies (CISTI 2011),Towards the next-generation traffic simulation tools: a first appraisal,False,False,False,False,False,False,N,,,
10.1145/2512349.2517248,inproceedings,2013.0,Proceedings of the 2013 ACM International Conference on Interactive Tabletops and Surfaces,Music mixing surface,False,False,False,False,False,False,N,,,
10.1109/MysuruCon55714.2022.9972526,inproceedings,2022.0,2022 IEEE 2nd Mysore Sub Section International Conference (MysuruCon),Improved Domain Generation Algorithm To Detect Cyber-Attack With Deep Learning Techniques,False,False,False,False,False,False,N,,,
10.1016/S0082-0784(98)80423-2,article,1998.0,Symposium (International) on Combustion,"Oxidation of oxygenated octane improvers: MTBE, ETBE, DIPE, and TAME",False,False,False,False,False,False,N,,,
10.1109/COMPSAC.2014.9,inproceedings,2014.0,2014 IEEE 38th Annual Computer Software and Applications Conference,Optimizing Non-orthogonal Space Distance Using PSO in Software Cost Estimation,False,False,False,False,False,False,N,,,
10.1109/VRW58643.2023.00311,inproceedings,2023.0,2023 IEEE Conference on Virtual Reality and 3D User Interfaces Abstracts and Workshops (VRW),VR authentication through 3D key block building,False,False,False,False,False,False,N,,,
10.1109/WETICE.2009.50,inproceedings,2009.0,2009 18th IEEE International Workshops on Enabling Technologies: Infrastructures for Collaborative Enterprises,Alaska Simulator Supporting Empirical Evaluation of Process Flexibility,False,False,False,False,False,False,N,,,
10.1016/j.microrel.2021.114072,article,2021.0,Microelectronics Reliability,Memoryless nonlinearity in IT JL FinFET with spacer technology: Investigation towards reliability,False,False,False,False,False,False,N,,,
10.1109/43.486274,article,1996.0,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,On the integration of partitioning and global routing for rectilinear placement problems,False,False,False,False,False,False,N,,,
10.1093/mnras/stw1859,article,2016.0,Monthly Notices of the Royal Astronomical Society,Scalable splitting algorithms for big-data interferometric imaging in the SKA era,False,False,False,False,False,False,N,,,
10.1016/B978-0-12-803228-2.00006-4,incollection,2016.0,Biomechanics of the Female Pelvic Floor,Chapter Six - Pelvic Floor Biomechanics From Animal Models,False,False,False,False,False,False,N,,,
10.1016/j.bspc.2024.106840,article,2025.0,Biomedical Signal Processing and Control,Hardware synthesis of closed loop PID controlled L-DOPA model for automated drug delivery,False,False,False,False,False,False,N,,,
10.1016/S0954-1810(97)00028-9,article,1998.0,Artificial Intelligence in Engineering,Solution reuse for model generation in numerical simulation,False,False,False,False,False,False,N,,,
10.1039/d3ya00406f,article,2024.0,Energy Advances,"Advancements in cathode materials for potassium-ion batteries: current landscape, obstacles, and prospects",False,False,False,False,False,False,N,,,
10.1016/j.epsr.2024.110158,article,2024.0,Electric Power Systems Research,Stochastic economic dispatch of wind power under uncertainty using clustering-based extreme scenarios,False,False,False,False,False,False,N,,,
10.1093/petrology/egi029,article,2005.0,Journal of Petrology,"Continuous Gradations among Primary Carbonatitic, Kimberlitic, Melilititic, Basaltic, Picritic, and Komatiitic Melts in Equilibrium with Garnet Lherzolite at 3–8 GPa",False,False,False,False,False,False,N,,,
10.1016/j.ijheatmasstransfer.2020.119888,article,2020.0,International Journal of Heat and Mass Transfer,Nonlinear heat waves and some analogies with nonlinear optics,False,False,False,False,False,False,N,,,
10.1109/NAECON.1990.112937,inproceedings,1990.0,IEEE Conference on Aerospace and Electronics,Deterministic chaos in atmospheric flows as a model for self-organised neural networks,False,False,False,False,False,False,N,,,
10.1016/j.apacoust.2022.108966,article,2022.0,Applied Acoustics,Acoustic travelling wave separation in the time domain using electronic time delay circuits and leaky recursion,False,False,False,False,False,False,N,,,
10.1109/TPS.2022.3180489,article,2022.0,IEEE Transactions on Plasma Science,3-D Electromagnetic Model of the WEST Tokamak Sector During Plasma Disruptions,False,False,False,False,False,False,N,,,
10.1016/j.aeue.2019.152845,article,2019.0,AEU - International Journal of Electronics and Communications,Traditional Op-Amp and new VCII: A comparison on analog circuits applications,False,False,False,False,False,False,N,,,
10.1109/AERO53065.2022.9843357,inproceedings,2022.0,2022 IEEE Aerospace Conference (AERO),It's Time for Focused In Situ Studies of Planetary Surface-Atmosphere Interactions,False,False,False,False,False,False,N,,,
10.1109/WCNC.2005.1424849,inproceedings,2005.0,"IEEE Wireless Communications and Networking Conference, 2005",Towards cooperation fairness in mobile ad hoc networks,False,False,False,False,False,False,N,,,
10.1109/12.494102,article,1996.0,IEEE Transactions on Computers,Probability to achieve TSC goal,False,False,False,False,False,False,N,,,
10.1016/j.proci.2022.11.006,article,2023.0,Proceedings of the Combustion Institute,Dynamics of Chapman-Jouguet pulsating detonations with Chain-Branching kinetics: Fickett’s analogue and Euler equations,False,False,False,False,False,False,N,,,
10.1145/3306131.3317014,inproceedings,2019.0,Proceedings of the ACM SIGGRAPH Symposium on Interactive 3D Graphics and Games,Multi-touch 3D positioning with the pantograph technique,False,False,False,False,False,False,N,,,
10.1109/ICSR.1994.365787,inproceedings,1994.0,Proceedings of 1994 3rd International Conference on Software Reuse,Domain modeling for reuse,True,False,False,False,False,False,Y,,,
10.1016/j.ijheatfluidflow.2022.109011,article,2022.0,International Journal of Heat and Fluid Flow,Heat transfer and mixing enhancement by Poiseuille-Taylor-Couette flow between two rotating elliptically-deformed annular tubes,False,False,False,False,False,False,N,,,
10.1109/TPWRS.2019.2954453,article,2020.0,IEEE Transactions on Power Systems,Lossy DistFlow Formulation for Single and Multiphase Radial Feeders,False,False,False,False,False,False,N,,,
10.1016/S1369-8001(03)00077-5,article,2003.0,Materials Science in Semiconductor Processing,Challenges for signal integrity prediction in the next decade,False,False,False,False,False,False,N,,,
,inproceedings,2007.0,2007 15th European Signal Processing Conference,Efficient parallel memory organization for turbo decoders,False,False,False,False,False,False,N,,,
10.1364/CLEO_QELS.2013.JTh2A.72,inproceedings,2013.0,CLEO: 2013,Superradiance in parametric fluorescence,False,False,False,False,False,False,N,,,
10.1109/PSC.2016.7462848,inproceedings,2016.0,2016 Clemson University Power Systems Conference (PSC),LTspice model of a solar thermoelectric generation system,False,False,False,False,False,False,N,,,
,inproceedings,2012.0,2012 Proceedings of PICMET '12: Technology Management for Emerging Technologies,Knowledge transfer in R&D project management: Application to business-academia collaboration project,False,False,False,False,False,False,N,,,
10.18653/v1/2024.acl-long.193,inproceedings,2024.0,Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),Metaphor Understanding Challenge Dataset for {LLM}s,False,True,False,False,False,False,N,,,
10.1016/j.nucengdes.2006.03.007,article,2006.0,Nuclear Engineering and Design,Second generation waste package design and storage concept for the Yucca Mountain Repository,False,False,False,False,False,False,N,,,
10.1016/j.microrel.2020.113584,article,2020.0,Microelectronics Reliability,TR-DLS analysis on analog circuit,False,False,False,False,False,False,N,,,
10.1109/ICMECT.2019.8932157,inproceedings,2019.0,2019 23rd International Conference on Mechatronics Technology (ICMT),Planetary Gear Tooth Fault Detection using Stator Current Space Vector Analysis in Induction Machine-Based Systems,False,False,False,False,False,False,N,,,
10.1016/j.ifacol.2020.12.2350,article,2020.0,IFAC-PapersOnLine,Human-vehicle interaction with a metaphor based collision avoidance interaction pattern,False,False,False,False,False,False,N,,,
10.1016/0895-7177(88)90097-0,article,1988.0,Mathematical and Computer Modelling,"Characterization of the coronary vascular capacitance, resistance, and flow in endocardium and epicardium based on a nonlinear dynamic analog model",False,False,False,False,False,False,N,,,
10.1007/s10010-023-00613-6,article,2023.0,Forsch Ingenieurwes,Analogy test rig for the generation of tooth flank fractures at large gears ({WZL}-double pulsator)—commissioning and first test results,False,False,False,False,False,False,N,,,
10.1145/3546155.3546666,inproceedings,2022.0,Nordic Human-Computer Interaction Conference,Using Metaphorical Design to Reveal New Perspectives in Systems Design – Insights From a Participatory Design Workshop for Research Data Platforms,False,True,False,False,False,False,Y,,,
10.1162/coli.2006.32.3.379,article,2006.0,Comput. Linguist.,Similarity of Semantic Relations,False,True,False,False,False,False,Y,,,
10.1016/j.sse.2011.01.045,article,2011.0,Solid-State Electronics,Harmonic distortion of 2-MOS structures for MOSFET-C filters implemented with n-type unstrained and strained FINFETS,False,False,False,False,False,False,N,,,
